TrealK	TsampK	STsamK	TheaterK	STheateK	mi0HmT	sH	Memu	sMemu	Memupg	pointtoStat	timebetmeasms	actualTime
260,284780E+0	248,533333E+0	57,735027E-3	267,430000E+0	51,961524E-3	8,810000E+0	0,000000E+0	39,147333E-3	50,332230E-6	Inf	3,000000E+0	250,000000E+0	3,719843601330E+9
260,353497E+0	248,600000E+0	0,000000E+0	267,500000E+0	0,000000E+0	8,813333E+0	5,773503E-3	39,300667E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719843611320E+9
260,640311E+0	248,866667E+0	57,735027E-3	267,800000E+0	0,000000E+0	8,803333E+0	5,773503E-3	38,614000E-3	80,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843621320E+9
260,853939E+0	249,100000E+0	0,000000E+0	268,000000E+0	0,000000E+0	8,796667E+0	5,773503E-3	38,474000E-3	72,111026E-6	Inf	3,000000E+0	250,000000E+0	3,719843631320E+9
261,093941E+0	249,300000E+0	34,809343E-15	268,266667E+0	57,735027E-3	8,786667E+0	5,773503E-3	37,960667E-3	50,332230E-6	Inf	3,000000E+0	250,000000E+0	3,719843641310E+9
261,314029E+0	249,500000E+0	0,000000E+0	268,500000E+0	0,000000E+0	8,780000E+0	0,000000E+0	37,687333E-3	170,098011E-6	Inf	3,000000E+0	250,000000E+0	3,719843651310E+9
261,614297E+0	249,800000E+0	34,809343E-15	268,800000E+0	0,000000E+0	5,843333E+0	5,060478E+0	37,147333E-3	98,657657E-6	Inf	3,000000E+0	250,000000E+0	3,719843661300E+9
261,787567E+0	249,933333E+0	57,735027E-3	269,000000E+0	0,000000E+0	8,790000E+0	26,457513E-3	36,954000E-3	80,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843671300E+9
262,060919E+0	250,166667E+0	57,735027E-3	269,300000E+0	0,000000E+0	8,780000E+0	0,000000E+0	36,414000E-3	20,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843681300E+9
262,327829E+0	250,433333E+0	57,735027E-3	269,566667E+0	57,735027E-3	8,783333E+0	5,773503E-3	35,774000E-3	20,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719843691290E+9
262,574832E+0	250,700000E+0	34,809343E-15	269,800000E+0	0,000000E+0	8,776667E+0	5,773503E-3	35,247333E-3	102,632029E-6	Inf	3,000000E+0	250,000000E+0	3,719843701290E+9
262,815362E+0	251,000000E+0	0,000000E+0	270,000000E+0	0,000000E+0	8,796667E+0	5,773503E-3	34,860667E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719843711290E+9
263,035456E+0	251,200000E+0	34,809343E-15	270,233333E+0	57,735027E-3	8,790000E+0	10,000000E-3	34,447333E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719843721280E+9
263,315802E+0	251,500000E+0	0,000000E+0	270,500000E+0	0,000000E+0	8,796667E+0	5,773503E-3	34,327333E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719843731280E+9
263,555815E+0	251,700000E+0	34,809343E-15	270,766667E+0	57,735027E-3	8,766667E+0	11,547005E-3	33,947333E-3	61,101009E-6	Inf	3,000000E+0	250,000000E+0	3,719843741280E+9
263,802798E+0	251,966667E+0	57,735027E-3	271,000000E+0	0,000000E+0	8,760000E+0	0,000000E+0	33,467333E-3	94,516313E-6	Inf	3,000000E+0	250,000000E+0	3,719843751330E+9
264,076175E+0	252,200000E+0	34,809343E-15	271,300000E+0	0,000000E+0	8,783333E+0	5,773503E-3	33,240667E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719843761380E+9
